Approval Date,Approval Date,Company
2018-10-26,10/26/2018,NVS
2018-10-26,10/26/2018,INCY
2018-10-26,10/26/2018,SCPL
2018-10-28,10/28/2018,TXMD
2018-10-29,10/29/2018,GKOS
2018-10-29,10/29/2018,EQRR
2018-10-30,10/30/2018,GILD
2018-10-31,10/31/2018,RBCN
2018-10-31,10/31/2018,GOLD
2018-10-31,10/31/2018,GILD
2018-11-01,11/01/2018,LLY
2018-11-01,11/01/2018,AQST
2018-11-02,11/02/2018,TARO
2018-11-02,11/02/2018,GILD
2018-11-02,11/02/2018,GOL
2018-11-02,11/02/2018,PFE
2018-11-05,11/05/2018,EQRR
2018-11-06,11/06/2018,LLY
2018-11-06,11/06/2018,ABBV
2018-11-06,11/06/2018,BHC
2018-11-06,11/06/2018,CEL.P
2018-11-07,11/07/2018,CHNG
2018-11-07,11/07/2018,ABBV
2018-11-09,11/09/2018,AMP
2018-11-09,11/09/2018,AZN
2018-11-09,11/09/2018,SCPL
2018-11-11,11/11/2018,BHC
2018-11-14,11/14/2018,GSK
2018-11-15,11/15/2018,ABBV
2018-11-15,11/15/2018,GSK
2018-11-15,11/15/2018,CEL.P
2018-11-16,11/16/2018,NVS
2018-11-16,11/16/2018,PFE
2018-11-16,11/16/2018,BHC
2018-11-16,11/16/2018,BHLB
2018-11-16,11/16/2018,RDHL
2018-11-16,11/16/2018,AMRX
2018-11-19,11/19/2018,NATR
2018-11-20,11/20/2018,LLY
2018-11-21,11/21/2018,ABBV
2018-11-21,11/21/2018,SNY
2018-11-21,11/21/2018,NVO
2018-11-21,11/21/2018,PFE
2018-11-21,11/21/2018,TARO
2018-11-23,11/23/2018,GOL
2018-11-25,11/25/2018,ABBV
2018-11-26,11/26/2018,LLY
2018-11-29,11/29/2018,AZN
2018-11-29,11/29/2018,NVS
2018-11-29,11/29/2018,EQRR
2018-11-30,11/30/2018,GILD
2018-12-03,12/03/2018,PFE
2018-12-04,12/04/2018,NVO
2018-12-04,12/04/2018,EQRR
2018-12-06,12/06/2018,NVS
2018-12-06,12/06/2018,ABBV
2018-12-06,12/06/2018,SCPL
2018-12-06,12/06/2018,NATR
2018-12-07,12/07/2018,SCPL
2018-12-07,12/07/2018,FNB-E
2018-12-07,12/07/2018,NATR
2018-12-10,12/10/2018,GILD
2018-12-11,12/11/2018,LLY
2018-12-11,12/11/2018,GILD
2018-12-11,12/11/2018,MRK
2018-12-11,12/11/2018,BMRN
2018-12-12,12/12/2018,PKE
2018-12-12,12/12/2018,NVS
2018-12-12,12/12/2018,MRK
2018-12-14,12/14/2018,NVS
2018-12-14,12/14/2018,AMGN
2018-12-17,12/17/2018,BMY
2018-12-17,12/17/2018,CEL.P
2018-12-17,12/17/2018,AMRX
2018-12-18,12/18/2018,NVS
2018-12-19,12/19/2018,ABBV
2018-12-19,12/19/2018,AZN
2018-12-20,12/20/2018,LLY
2018-12-20,12/20/2018,CTVA
2018-12-20,12/20/2018,CEL.P
2018-12-20,12/20/2018,PFE
2018-12-20,12/20/2018,AMGN
2018-12-21,12/21/2018,GSK
2018-12-21,12/21/2018,AMP
2018-12-21,12/21/2018,NVS
2018-12-21,12/21/2018,AZN
2018-12-21,12/21/2018,MRK
2018-12-21,12/21/2018,CEL.P
2018-12-21,12/21/2018,HZNP
2018-12-21,12/21/2018,SCPL
2018-12-21,12/21/2018,ACOR
2018-12-21,12/21/2018,EQRR
2018-12-26,12/26/2018,AMRX
2018-12-27,12/27/2018,CEL.P
2018-12-27,12/27/2018,PKE
2018-12-27,12/27/2018,NVS
2018-12-28,12/28/2018,GILD
2018-12-28,12/28/2018,ALKS
2018-12-31,12/31/2018,TARO
2018-12-31,12/31/2018,GOL
2018-02-01,02/01/2018,PFE
2018-02-01,02/01/2018,RBCN
2018-02-01,02/01/2018,GOLD
2018-02-02,02/02/2018,GILD
2018-02-06,02/06/2018,OGN
2018-02-06,02/06/2018,GILD
2018-02-06,02/06/2018,PFE
2018-02-06,02/06/2018,AZN
2018-02-07,02/07/2018,GILD
2018-02-08,02/08/2018,CEL.P
2018-02-09,02/09/2018,OGN
2018-02-09,02/09/2018,CEL.P
2018-02-09,02/09/2018,AMRX
2018-02-12,02/12/2018,PFE
2018-02-13,02/13/2018,CEL.P
2018-02-13,02/13/2018,GOL
2018-02-15,02/15/2018,LLY
2018-02-15,02/15/2018,CEL.P
2018-02-15,02/15/2018,AMRX
2018-02-16,02/16/2018,NVS
2018-02-16,02/16/2018,ADMS
2018-02-20,02/20/2018,BHC
2018-02-26,02/26/2018,GSK
2018-02-26,02/26/2018,LLY
2018-02-28,02/28/2018,PFE
2018-02-28,02/28/2018,OGN
2018-02-28,02/28/2018,RDHL
2018-03-01,03/01/2018,NVS
2018-03-01,03/01/2018,PFE
2018-03-02,03/02/2018,TEVA
2018-03-05,03/05/2018,CEL.P
2018-03-06,03/06/2018,PFE
2018-03-06,03/06/2018,ABBV
2018-03-06,03/06/2018,NVO
2018-03-07,03/07/2018,GOL
2018-03-07,03/07/2018,GOLD
2018-03-08,03/08/2018,SCPL
2018-03-09,03/09/2018,PFE
2018-03-09,03/09/2018,AZN
2018-03-09,03/09/2018,NVS
2018-03-09,03/09/2018,EQRR
2018-03-13,03/13/2018,MRK
2018-03-14,03/14/2018,CTVA
2018-03-15,03/15/2018,PFE
2018-03-15,03/15/2018,AMGN
2018-03-16,03/16/2018,CTVA
2018-03-16,03/16/2018,LLY
2018-03-19,03/19/2018,AMRX
2018-03-20,03/20/2018,NVS
2018-03-20,03/20/2018,PFE
2018-03-20,03/20/2018,GOL
2018-03-22,03/22/2018,NVS
2018-03-22,03/22/2018,GILD
2018-03-23,03/23/2018,OGN
2018-03-26,03/26/2018,OGN
2018-03-26,03/26/2018,NVO
2018-03-26,03/26/2018,TARO
2018-03-27,03/27/2018,LLY
2018-03-28,03/28/2018,NVS
2018-03-29,03/29/2018,AMGN
2018-04-01,04/01/2018,PFE
2018-04-02,04/02/2018,SNY
2018-04-03,04/03/2018,PFE
2018-04-03,04/03/2018,AZN
2018-04-04,04/04/2018,PKE
2018-04-05,04/05/2018,GOL
2018-04-06,04/06/2018,CLVS
2018-04-09,04/09/2018,PFE
2018-04-09,04/09/2018,CTVA
2018-04-10,04/10/2018,OGN
2018-04-10,04/10/2018,NVS
2018-04-10,04/10/2018,AMGN
2018-04-10,04/10/2018,REGN
2018-04-12,04/12/2018,GSK
2018-04-13,04/13/2018,CEL.P
2018-04-16,04/16/2018,PFE
2018-04-16,04/16/2018,CEL.P
2018-04-17,04/17/2018,CHNG
2018-04-17,04/17/2018,LLY
2018-04-17,04/17/2018,GOL
2018-04-18,04/18/2018,NVO
2018-04-18,04/18/2018,LLY
2018-04-18,04/18/2018,GSK
2018-04-18,04/18/2018,CEL.P
2018-04-18,04/18/2018,BMY
2018-04-18,04/18/2018,AZN
2018-04-19,04/19/2018,OGN
2018-04-19,04/19/2018,PFE
2018-04-19,04/19/2018,LLY
2018-04-20,04/20/2018,SCPL
2018-04-20,04/20/2018,NVS
2018-04-23,04/23/2018,MRK
2018-04-23,04/23/2018,TARO
2018-04-23,04/23/2018,NVS
2018-04-24,04/24/2018,MNKD
2018-04-24,04/24/2018,GSK
2018-04-25,04/25/2018,PFE
2018-04-26,04/26/2018,CHNG
2018-04-27,04/27/2018,SCPL
2018-04-30,04/30/2018,ABBV
2018-04-30,04/30/2018,NVS
2018-05-01,05/01/2018,PFE
2018-05-02,05/02/2018,GOLD
2018-05-03,05/03/2018,BCRX
2018-05-04,05/04/2018,NVS
2018-05-04,05/04/2018,NATR
2018-05-04,05/04/2018,SCPL
2018-05-07,05/07/2018,GSK
2018-05-10,05/10/2018,NVS
2018-05-11,05/11/2018,NVS
2018-05-14,05/14/2018,CTVA
2018-05-14,05/14/2018,ACI.S
2018-05-14,05/14/2018,WNEB
2018-05-14,05/14/2018,SCPL
2018-05-15,05/15/2018,GILD
2018-05-17,05/17/2018,LLY
2018-05-17,05/17/2018,GSK
2018-05-17,05/17/2018,AMGN
2018-05-18,05/18/2018,PFE
2018-05-18,05/18/2018,ABBV
2018-05-18,05/18/2018,ATH.U
2018-05-18,05/18/2018,AMGN
2018-05-18,05/18/2018,AZN
2018-05-21,05/21/2018,OSMT
